"","cond","SID","value","article_number"
"393","self","s635","I live on long island near the water and it makes me nervous to think this could happen to me.",25
"394","self","s636","Greta has inspired me to rally for more to be done by our government to combat climate change.",65
"395","self","s638","Plastics a product that  bring  the  world to end.",67
"396","social","s639","People I know have certain conditions mentioned which put them at risk of Parkinson's disease.",82
"397","self","s640","I personally have the face many Difficult situation due to the climate change....",99
"398","self","s001","How to get rid of children's picky eating habits and get them to eat healthier",2
"399","self","s002","it's really sad that our earth consumes this much plastics because of human",67
"400","social","s003","Breakdown of a bill by senator Schumer about climate change.",73
"401","social","s004","The Federal government is dropping the ball on caring about its' citizens by not spending this money on aid and prevention.",13
"402","social","s005","Endangered animal species act might be overhauled. Because of the job market as a factor. I wonder if it's for the good or the bad.",89
"403","social","s008","All the ways you can prevent clogging your arteries.",84
"404","self","s009","I own a home and live near wooded area that is prone to wildfires",63
"405","social","s010","they can have their children enroll in this program to improve their health",86
"406","social","s012","Sleep apnea can cause obesity.",106
"407","self","s014","There is a new book that helps people make healthier eating choices for their kids.",2
"408","social","s015","This is about what you can consume to reduce or prevent kidney stones naturally.",46
"409","social","s017","The causes of Parkinson's disease are likely to result into heart risks.",82
"410","social","s018","The loss of hearing may be linked to the increased risk of driving, work, leisure and sports injuries.",90
"411","self","s019","This article discusses if the parents contribute to their child's obesity.",92
"412","self","s020","Climate change may have negative impacts on historical sites in the Mediterranean.",85
"413","self","s021","This article matters to me because the decisions made with carbon emissions around the world could affect my health.",41
"414","social","s024","This talks about reducing waste by buying fewer things locally.",20
"415","social","s025","The article is discussing how Artificial Intelligence (AI) can be used to map the history of breast cancer patients in order to potentially predict, prevent and treat the disease.",104
"416","social","s028","it related to some of my friends as he has obesity",108
"417","self","s030","This article is about children's  exercise that consist a hour of running , calisthenics and rousing group games that  can feel children feel happier and more energetic .",86
"418","social","s031","Disposable cleaning products.",47
"419","self","s032","This article is important to me because it explains the safety measures that must be taken in case of floods and other catastrophes due to climate change.",25
"420","self","s036","Benefits of sugary drink ban",94
"421","social","s037","about the management of new technologies in internet",81
"422","social","s038","People who want or don't want energy independence will have something to argue about.",61
"423","self","s040","It is about getting proteins from  plants",64
"424","social","s041","This article is trying to inform people about the geographical area of people who are at higher risk of getting cancer due to overweight or obesity.",54
"425","social","s042","because The dancers now had denser white matter in their fornix, a part of the brain involved with processing speed and memory.",14
"426","self","s043","Global warming is a myth.  Thought it was climate change now.  Or did they finally move on to climate crisis?",15
"427","social","s045","because people care about polar bears",77
"428","self","s046","the beginning of doing exercise will give more benefits and make improve in the cells",56
"429","self","s048","Solid foods might have a positive impact on babies fed at 3months.",44
"430","social","s049","Climate change disasters will increase in frequency.",99
"431","self","s051","The article talks about a supplement that has increased gut bacteria in mice and allowed them to run faster, which could be used to help improve human exercise performance.",72
"432","self","s052","This article is about the affect Climate Change will have on our economy by 2100.",9
"433","social","s053","The heat wave pushed the June over the edge to be the hottest June on record.",91
"434","self","s054","We need to save important heritage sites. It will go to destroy because of the global warming.",85
"435","social","s055","The world may be slowly introducing and using more solar power but it is a small amount compared to the amount of fossil fuel we use for our total electricty.",93
"436","self","s056","This is a loss for me since I love studying rare animals.",101
"437","self","s057","We exercise the body to keep in shape and it is logical that exercise also benefits the mind. Along with brain teasers, reading books, working puzzles, we also need to exercise our mind to ward off this devastating disease.",34
"438","self","s058","I should keep this in mind when I choose what I eat.",28
"439","social","s062","This article is about how to stop the habit of using single-use plastic products and in place replace them with reusable products.",55
"440","self","s063","Because every company is constantly doing shit like this and it's destroying the lives of everyone involved, including their own.",29
"441","self","s064","consume less fod and help the environment",31
"442","social","s065","This article is about how automakers shifted their views on climate change.",71
"443","social","s066","Its not good to get kids meals because most are not healthy.",2
"444","self","s067","How lifestyle changes can have positive effects on your health, and specifically plaque buildup",84
"445","social","s068","I don't know anyone who takes statins.",80
"446","self","s069","Seems to be a new way to treat and diagnose breast cancer in people using AI.",104
"447","self","s070","Curious especially with COVID now.",100
"448","social","s072","This article matters to people I know because some of them are vegans and need to know what happens if they get gout.",26
"449","social","s073","This article about how babies who get solid food will sleep for longer.",44
"450","social","s074","People are switching over to vehicles that emit more pollution",103
"451","social","s075","no pressures on cycling and swimming",98
"452","self","s076","makes me feel sad for all the people that believe they can take supplements in place of proper diet and exercise",10
"453","social","s078","There's a new experimental Gut health supplement that may make us run faster, but it's not proven yet.",72
"454","social","s079","gives knowledge on obesity",108
"455","self","s080","Cooking with certain ingredients might actually be healthier than I expected.",42
"456","social","s081","People are worried about climate change",71
"457","self","s082","This article matters to me personally because all countries need to work together to lessen the pollution on the planet. I like knowing about when we get together to rid ourselves of the problem or not.",41
"458","social","s083","I now know that I should avoid statins if I want to have healthy skin.",80
"459","self","s084","more kids need to go outside and play instead of playing fortnite",12
"460","social","s085","How people are building new homes in flood zones despite the threat of floods in those areas.",23
"461","self","s086","There are two climate meetings being held this week.",11
"462","self","s089","Getting exercise can help your brain stay healthy.",14
"463","social","s090","I have children that climate change can effect in their future.",27
"464","social","s092","People who use CBD might not be aware of its risky areas.",88
"465","self","s093","Because I have a strong immune system so it matters",100
"466","self","s095","I've always been curious of claims that cooking reduces nutrients",42
"467","social","s097","At last automakers are starting to take climate change seriously.",71
"468","social","s099","So during an economic crisis fewer americans are buying disaster insurance even as disasters rise?",53
"469","social","s100","This article is about a specific approach to myeloma.",24
"470","self","s101","As a middle-aged woman, it's great to know exercise can help me stay clear.",34
"471","social","s103","Cleaning products are more expensive and less effective than that of reusable products.",47
"472","self","s104","This article is about whether or not low impact sports do not put enough pressure on bones.",98
"473","self","s106","This article is about less people getting disaster insurance, even though there are heightened risks because of climate change.",53
"474","social","s108","How things like dancing could be great for brain health.",14
"475","social","s110","Technology may be increased in against nature....",23
"476","self","s111","I live relatively close to the coast and would be interested to find if this area would be affected.",59
"477","self","s112","Solar power makes up a small fraction of sources for electricity, especially compared to fossil fuels.",93
"478","self","s113","This matter to me because I want to avoid anything that would decrease my health and worsen it.",80
"479","social","s114","If you are feeling a little bit clumsy, maybe you should check your hearing! We should be careful.",90
"480","social","s115","My family has a lot of over weight and obese people in it, anything to help with that would be appreciated I'm sure.",54
"481","social","s116","People are staying  home to help with the energy and the enviroment. It is starting to help in many ways but has a long way to go.",33
"482","social","s117","yes it contains high amount of protien",64
"483","self","s118","Two climate meetups are coming up, so now is the time to bolster the outreach of credible climate scientists.",11
"484","self","s119","I am mildly curious about this issue and the reasons behind the lawsuit.",3
"485","social","s120","gluten-free is not always best",66
"486","self","s121","Car makers change direction on climate change.",71
"487","social","s122","Parents may be responsible for their children's weight issues",92
"488","social","s123","This article is about the relationship between climate change and the US economy.",9
"489","self","s124","This article is about giving races a new way to conduct their races.",62
"490","social","s125","The effects of climate change on glaciers",45
"491","social","s126","there will be a simple answer to staying safe when the water rises",25
"492","self","s127","if diet is an important issue of weight loss person",8
"493","self","s130","This matters to me personally because I do 99% of the cleaning in my home, and reducing cleaning product waste is good for the environment.",47
"494","self","s132","Exxon wants to stop an investigation into climate",3
"495","social","s133","I would have never believed Low impact exercise has risks.",98
"496","social","s134","A start-up company is trying to figure out which land will find itself underwater thanks to climate change, which could be lucrative knowledge.",59
"497","social","s136","This article is about how global warming is increasing fire hazards due to drought and how firefighting is more important than ever.",17
"498","social","s137","Many of my friends are mothers, like I am. Most of us are always on the look out to find programs that bring enrichment to our children. this is a program that will for sure peak most of the moms interest.",86
"499","social","s139","Interviews with people who were directly affected by climate change.",97
"500","social","s140","How climate change and its effects will affect the world and people who live in it",99
"501","self","s141","It matters too society as a whole",11
"502","self","s143","babies could sleep  17 minutes longer if they have solid food than breast milk.",44
"503","self","s145","I have slight tinnitus and am worried about hearing loss from that as I get older.",90
"504","self","s146","I am kind of interested in how energy will change my lifestyle in the far future, and I am aware that climate change responsibility falls on large companies.",105
"505","self","s147","This matters to me because I personally use, and know others who use these types of supplement.",10
"506","self","s149","Year by year age passed but we never let us down.",76
"507","social","s150","The disruptions from climate change could permanently ruin historically notable places for everyone.",85
"508","self","s151","Exercise cures all. Get up from the couch and move. It keeps you young and healthy and feeling good",18
"509","social","s153","New challenging races that runners won't likely meet their personal record",62
"510","self","s155","There is a new type of tace that people are getting into.",62
"511","social","s156","Because the people I know would not want further damage to wildlife areas unless absolutely necessary. They would fear some species would go extinct if we can't leave these areas alone.",61
"512","self","s157","I have no any idea this time.",10
"513","social","s159","FACE REALLY DIFFICULT CHALLENGES",24
"514","self","s160","this article is about how babies sleep longer when they eat solid food",44
"515","self","s161","ARTICLE ABOUT HEALTH ISSUSES WHILE TAKEING LARGE AMOUNT SUGARY SUBSTANCES LIKE SWEETS AND SUGAR ADDED DRINKS",4
"516","social","s163","Homes are being built with great frequency in flood zones per a new study.",23
"517","social","s166","This article matters to people I know because it addresses climate change and those who don't believe that it is happening. It brings awareness of the issue and how we need to address it.",77
"518","self","s167","Climate change is real and anything I can do to help is important.",83
"519","self","s168","This article matters to me because I am overweight, and I dont want to cut my life short.",108
"520","social","s170","this is about approving drilling in arctic wildlife",61
"521","self","s172","Drinking sugary drinks can lead to a shorter life.",32
"522","social","s177","It matters because climate change affects everyone including people I know",27
"523","self","s178","This article describes how to reduce plaque in your arteries, which will reduce your risk of having a heart attack.  There's hope, everybody!",84
"524","self","s184","Climate change is causing multiple disasters one after another.",99
"525","social","s185","Weight training in 13 minutes.",48
"526","self","s186","Seems our land is band condition now.We should protect our land.",59
"527","self","s187","This article matters to me personally, because a climate plan proposal to help consumers switch to electric and hybrid vehicles would be a great step to helping move our country to cleaner transportation.",73
"528","social","s189","This article is about flooding and how climate change has affected flooding.",25
"529","social","s191","For general purpose",76
"530","self","s192","This is about the strange relationship between environmentalists and nuclear power, and also about how to cut down on your carbon footprint's impact.",51
"531","self","s193","Due to certain products used by the consumer can create pollution to the public it will affect our nature",107
"532","self","s194","Experts say that sugar in drinks leads to a shorter life span.",32
"533","self","s195","The EU did not approve a stricter carbon emissions limitation.",41
"534","self","s196","The article has some crucial information that can help me improve my life.",34
"535","social","s197","I find this article not helpful",69
"536","self","s198","This article very very useful and healthy. also relevant to people I know.",84
"537","self","s200","Article is about alternatives to disposable cleaning products.",47
"538","social","s201","I wish they'd have focused on this with my little bro. They do nothing all day but sit in chairs other than that 15 minute 'recess' after lunch. The best time would be in the morning to get their blood flowing and their spirits raised!",86
"539","self","s202","people should concern about climate change",59
"540","social","s204","I know someone who lives in a flood zone who needs more reasons to leave.",15
"541","social","s205","This sums up various ballot issues regarding climate change and how they fared this election.",75
"542","social","s206","lawmakers and lobbyists are the decision makers.",89
"543","self","s207","A winter athlete wants to save snow. A scientist maps out peat.",5
"544","self","s208","heart make it easy but not the brain",58
"545","social","s210","Are the polar bears fine? This is what scientists have to say.",77
"546","self","s211","This article is relevant to me because it highlights the problems of introducing non-native flora and fauna into environments not suited to them. In this case, introducing invasive grasses into regions not suited for them may increase environmental risks like wildfires",63
"547","self","s212","Sleep can have deadly",106
"548","social","s214","see if you can shorten your workout",48
"549","social","s215","Interesting angle - I always thought about impact to bones - not increasing bone strength! Worth the read.",98
"550","social","s216","It is about government measures to conserve wilderness areas.",19
"551","self","s217","Obesity has so many effects so I have to take a closer look at my health.",106
"552","social","s218","Benefits of exercise",56
"553","self","s219","It matters to me because I sometimes have a sweet tooth",4
"554","social","s222","I believe Nature & Culture will be remembered in history
as one of the few organizations who did the right thing,
on the right scale, in the right place, and in time.”",7
"555","self","s223","This article is about how climate change will impact the net profit of large companies within the next five years.",87
"556","self","s224","Big tech companies that I support are going to discuss important ideas.",81
"557","social","s227","Coal is useful for most of the people",21
"558","self","s230","People who have a strong fitness regimen are able to fight off Dementia. I've known that good cardiac health through exercise can strengthen your heart and increase blood flow. That's why I walk every day for a couple of hours with my dog. It increases blood flow and strength.",34
"559","self","s234","This is about several groups pressuring the government to loosen protections of endangered species.",89
"560","social","s235","Management is about developing the skills that make the action skills that the spouse has also created",83
"561","social","s236","This article is about the negative impact of dietary supplements.",10
"562","self","s237","GLUTEN FREE DIET DOES NOT PROVIDE BENEFITS",66
"563","self","s242","It helps to inform me about whether these types of activities can be harmful to me.",98
"564","self","s243","The plastic produced in my lifetime, just astounding",67
"565","social","s246","This matters to my cousin because he lives in California and he might be in the area of the lawsuit.",105
"566","self","s248","In general proper exercise in every morning makes your day happy. This article also claims the importance of cycling. Because cycling in every day helps to protect your from diseases",18
"567","social","s249","this would validate their thoughts about how climate change is real",91
"568","self","s250","This article matters to me personally because I am feeding bananas for  my son instead of sport drinks.",68
"569","social","s251","This article is about wildfires spreading in parts of the world and that climate change is responsible.",7
"570","social","s255","Probably the relationship between environmentalism and nuclear power, and likely the pros and cons behind it.",51
"571","social","s257","because we have to recycle the use of plastic",49
"572","self","s258","Benefits of exercise.",18
"573","social","s259","It explains the children fat and it causes their parents trouble",92
"574","self","s260","Processed meat could raise your risk for breast cancer.",52
"575","social","s261","A billionaire getting countries to continue to use coal despite its inherent risks to the world.",43
"576","self","s262","It is often good to balance out your diet rather than eat just one meat all the time.",50
"577","social","s265","Athlete / activist helping us keep winters white, the way they used to be.",5
"578","self","s268","how cooking can make some vegetables better and how it can hurt others to not benefit you",42
"579","social","s270","It's about how the world would get affected by the nuclear power and some kind of destructive powers",51
"580","self","s273","exxon does not want an investigation into their effects on the environment",3
"581","social","s274","Every people should know damaged environment and shrinking economy",9
"582","social","s275","We should stop using so much disposable plastic!",55
"583","self","s276","It was about the dancing was giving a active brain and it makes strong memory power.",14
"584","self","s277","romantic partners with eating disorders will affect the others too.",96
"585","self","s278","A good article explaining how a heart rate monitor can aid you with high-intensity interval training! I have been doing this type of exercise for years, but have yet to implement a heart rate monitor.",58
"586","social","s279","This article is about the walk of Americans.",36
"587","self","s280","It matters because I think people need to be better prepared.",53
"588","self","s281","Exercise alone without changes to diet will not be enough to make people loss weight.",6
"589","social","s283","how flavonoids can hrlp reduce risk of cancer",22
"590","self","s287","The article is about the consumption of fish making kids smarter.",30
"591","self","s288","Some vegan thinks his diet gave him gout.",26
"592","social","s292","Automakers plans could affect the climate we live in.",71
"593","social","s294","people were contemplating if a Bacterial supplement could make people run faster the way it does on mice",72
"594","social","s295","Because many people are affected by climate",109
"595","self","s297","You should only buy the food you will use that day in order to prevent food waste.",20
"596","social","s299","In order to fight cancer we must educate ourselves about what ""best"" we are facing",24
"597","social","s300","stay healthy by keeping fit in regular exercises and enjoy good healthy living",56
"598","self","s301","Using vitamin D to increase tooth enamel in your baby while pregnant.",60
"599","social","s303","This june has the heat wave nudged the planet",91
"600","self","s305","If I knew someone with an eating disorder I would want to know how I could help them",96
"601","social","s307","I did not know about this",1
"602","self","s308","It matters to me because I want to be health and weight conscious.",54
"603","self","s311","This is about mining coal and burning it. Three countries in particular are mining and using coal because it benefits a particular billionaire while it harms people and the environment.",43
"604","self","s313","I think it is good to keep environmental zealotry limited and reduced.",89
"605","self","s314","The relaxation of fuel efficiency rules for automobiles made by the Trump administration has been traced to industry groups who have a vested interest in seeing more fuel consumption.",29
"606","social","s316","This article is confusing on its intent.  I believe it is about climate change perspectives of automakers.",71
"607","self","s318","After one died during an attempted capture, scientists decided not to try and capture either of the other two remaining vaquita porpoises.",101
"608","self","s319","This article is about canadian zoologist",77
"609","self","s320","The people should known this fails",41
"610","self","s321","I have my children studying these program",86
"611","social","s322","This article is about the potential negatives of using either plastic or paper bags at the grocery store and compares the two options.",57
"612","self","s324","They put climate change issues on the election ballots.",75
"613","social","s326","The climate change is the main part of natural disaster which we cannot stop. This article is about Hurricane Dorian and the other storms cause more damage to the nation so some Billions in recovery Funds were not spent for the disaster",13
"614","social","s327","about the environment impact by coal consuming",43
"615","social","s328","This article is about how doing more fitness activities can help people live longer lives",56
"616","social","s329","This article is about a federal judge throwing out an Exxon Mobil lawsuit against attorneys general in New York.",3
"617","self","s330","The fossil fuel industry just can't seem to make enough money, and they couldn't care less what happens to our planet as they do it. Really sad.",29
"618","self","s331","Wastages should be recycled and should not pollute the water.",79
"619","social","s335","there is a dubious information going on about polar bears been circulated by Canadia zoolist blog",77
"620","self","s337","Chef Tom Colicchio suggests only buying produce you will use today when shopping at a farmer's market. This can help reduce food waste.",20
"621","social","s338","On Friday, young adults and children skipped school to protest for climate change.",109
"622","social","s344","We should pay attention to our environment and know when to do the needful. Cut your invasive grasses while you can.",63
"623","self","s345","There is CBD all over and I would like to know if I should go ahead and try it or if I should wait for more research.",88
"624","social","s348","It's about time we took climate change seriously",95
"625","social","s349","My dad doesn't like working out but maybe a heart monitor would make it more fun.",58
"626","social","s352","The article matters to people I know because the article talks about the effect of plastic bags or paper",57
"627","social","s353","This article is about trust and unavoidable.",76
"628","self","s358","Science made a big impact in scientists life",5
"629","self","s360","Algal is not serious problem in Florida in the past, but now it could be major problem and causes the problems for the coast. Also it made some problems in the future too.",39
"630","social","s361","My step-father had colorectal cancer and he eats a lot of deli meats, so this article would matter to myself and to my immediate loved ones.",28
"631","social","s363","It matters to people I know, because they need to find new solutions to their exercise/diet problem.
Article is about new weight loss strategy involving skipping meal before morning work out.",0
"632","social","s364","A condition called sleep apnea can effect your sleeping habits.",106
"633","self","s368","The information on the danger of climate change is very important to me.",7
"634","self","s371","This article reports on recent meetings of climate scientists, as well as suggestions to reduce food waste during the holiday season.",11
"635","social","s372","All kinds of people can weight train successfully if you do an intense workout for 13 minutes which isn't too long if you count the time in a day.",48
"636","self","s373","A skier wants to save the snow of the world.",5
"637","self","s375","Elderly persons tend to live on a Fixed Income and try to make their dollars stretch through frugality. Going from ""Riches to Rags"" sets a familiar and compelling backdrop to the story in the article. It will also contrast the Healthy Diet she had in Korea vs the Unhealthy Diet from Fast Food.",70
"638","social","s380","We can all benefit for direct action to persuade policy makers to take climate change more seriously.",27
"639","social","s386","it is important to an animal lover because no one wants to see a mammal die",101
"640","self","s387","parents are force feeding their children",92
"641","social","s390","under found side effect from dietary supplement",10
"642","self","s394","very close to me the changes and more interesting",11
"643","social","s395","because this covers heritage sites threatened by climate change.",85
"644","social","s396","Climate change record heat wreaked havoc",97
"645","social","s399","Polar bears are a favorite of my children and we want to see them thriving.",77
"646","social","s400","About list of heritage sites that can be affected by climate change.",85
"647","self","s401","As a animal lover its is very personal that wildlife is getting affected by toxic tide and to make necessary action to prevent the wildlife",39
"648","self","s402","Our future also depends on our surroundings",36
"649","social","s403","AI technology has breakthroughs with breast cancer research",104
"650","social","s406","The article talks about how to stop your habit of using single-use items and how to get into more environmentally friendly habits.",55
"651","self","s411","global warming is big issue in our country it is create a pollution and effects in our economy lose percent of  coming years is very big issues and very important one",9
"652","self","s412","getically modified organism tend we know the least .the scientist new study found",102
"653","self","s414","I am a huge advocate against study and this helps confirm why I did that.",32
"654","self","s415","some good news, hav to keep in mind and pass it ovre",60
"655","self","s418","It is about governments suing gas giants about Climate.",105
"656","self","s419","I think we need to be moving away from fossil fuels and this sounds like a good article explaining that",93
"657","social","s420","Avoid stone-farming foods like chocolate, spinach, tea, etc.., to prevent from kidney stone forming",46
"658","self","s421","The argument is made that dance is actually the best form of exercise for brain health, even better than walking or stretching.",14
"659","self","s422","There are more affordable and more effective methods for cleaning than single use products.",47
"660","social","s423","Climate change will decrease the GDP of the US.",9
"661","self","s425","Adverse effects from dietary supplements could impact my health and the health of my loved ones.",10
"662","self","s432","This article is about a growing swath of trash that is floating in the ocean between California and Hawaii.  This mass of trash is predicted to be 16 times larger than originally thought.",79
"663","self","s434","Australia in a victory for coal , clears the way for a disputed mine.",21
"664","social","s435","A new use for bacteria derivated supplements related to address the obesity issue.",74
"665","social","s436","A new study suggest very relevant to the California.",79
"666","self","s437","most of adults became obesity causes so take our routine life take excersise",106
"667","self","s439","This matters to me, because overweight adults will read this, and think they don't need to lose weight. Proven, or not, obesity can cause a person harm in many different areas, including a healthy life.",108
"668","social","s442","recycling process must be followed to reduce the pollution. It must be followed by all the peoples who were in the us. It is beneficial process.",49
"669","self","s444","This article matters to me because it helps me to know the importance of flavonoids in plants.",22
"670","self","s445","in childhood days good and precious day for us",12
"671","self","s446","Ways to benefit from intense exercise.",56
"672","social","s448","The article talks about what people can do to help improve the earth, in the coming year. It also discusses a government shutdown and presents a Democratic plan to help address climate change.",31
"673","self","s449","This article describes the claims of a snake oil.",88
"674","self","s450","I actually live close to flood-prone areas so this affects my neighborhood, so to speak.",23
"675","social","s453","this is very useful things to avoid plastics",55
"676","social","s454","Wildfires are caused by global warming.",7
"677","self","s456","Effect of climate change in polar bears life",77
"678","self","s457","I have a dog myself and we let him sleep in the bed. I think it's good to know that it is helping both mine and my dog's sleep patterns.",38
"679","social","s460","This article is about the many dangers of sugar and sugary drinks.",4
"680","social","s462","Sleep apnea consequences, and the main cause behind it.",106
"681","social","s463","this will raise awareness about climate change",59
"682","social","s466","There is a bill that is passing to have federal funds for conservation",19
"683","social","s467","We are more addicted to fast food. Fast food not help to reduce weight.",78
"684","social","s470","because we use coal as an energy source.",43
"685","self","s471","This is about babies eating solid foods when they reach 3 months old and how that may help them to sleep longer at night.",44
"686","social","s473","vitamin d is great in pregnancy for the baby growth",60
"687","self","s475","Sanator shumer has a plan to give people vouchers for electric cars
",73
"688","self","s478","This article is about the risk of Parkinson's disease which is increased by the abdominal obesity and other issues like high blood pressure and diabetes.",82
"689","social","s479","new races that are designed to guarantee you wont set a new record are on the up and coming for runners",62
"690","self","s481","Government aid has not helped Americans hit by storms",13
"691","self","s482","Large glacier collapses (larger than previously expected) are starting to happen more frequently due to climate change, and it's likely this will continue in the future.",45
"692","self","s483","Climate change has us on track toward multiple disaster movie -level crises in the not-too-distant future",99
"693","social","s485","Finding alternative disposable cleaning products could help people I know.",47
"694","self","s487","It understands me better",55
"695","social","s488","because climate change is real and we need this planet to live . this is a topic that matters to everyone",27
"696","self","s490","This article is about how cooking can effect levels of nutrients",42
"697","social","s492","After years of working on it, a new land conservation bill has finally been passed.  It designates millions of acres for environmental protection and sets up a federal program to help pay for conservation.",19
"698","self","s493","It’s people who are trying to lose weight but not the healthy way. Using pills and dangerously risking their life’s",10
"699","social","s494","This article about relevant to people...worried about the message",91
"700","social","s495","Exxon's attempt to block an investigation was cut down by a NY federal judge",3
"701","self","s496","the best advice to known for",20
"702","social","s497","I think this article matters to people I know because it could bring some hope as some are trying to lose weight and be healthy.",72
"703","social","s498","Within the next five years, climate change could have severe economic impacts on major corporations.  They're estimating almost a trillion dollars in risks.  So much for that 401k.",87
"704","self","s499","seeds and gout  had been eating more years ago it is good for health",26
"705","social","s502","It matters to people I know because the article provides weight loss tips and strategies that can come in handy. I know many people who struggle with weight loss and this article could really help them.",0
"706","self","s504","This article is about how environmentalists and nuclear power is trying to come together, however they are facing issues that complicate the situation. It also talks about how people can reduce their own carbon footprints.",51
"707","social","s505","This article creates awareness about climate change issues.",41
"708","social","s506","My partner has sleep apnea and we talk about it every now and then because I am worried about this a great deal. This matters because it could be life or death for him if he doesn't lose weight.",106
"709","self","s507","about how there is more than just caloric input and output when it comes to weight loss",78
"710","self","s512","Predicting the affects of climate change",59
"711","social","s513","I know plenty of people who care about polar bears and our climate in general and we need to verify the accuracy of information being shared.",77
"712","self","s514","This concerns me as we are running out of time to reduce carbon emissions, this affects us all!",41
"713","self","s515","Organic product are more helpful to the body than inorganic product.",64
"714","social","s516","To people know the hearing loss impact on future",90
"715","social","s517","It gives me more information",8
"716","self","s520","This article matters by providing awareness of climate week and a call for action where appropriate.",83
"717","self","s522","E.U. Leaders foiled in climate target attempt by developing Eastern countries who oppose.",41
"718","self","s526","Climate change should matter to everyone personally, it is very important.",35
"719","self","s527","We are saving energy by staying home more for the most part",33
"720","social","s529","It's unclear whether a gut bacteria that makes mice run faster would work on humans.",72
"721","self","s530","REDUCE OWN CARBOB FOOTPRINT",51
"722","social","s531","The un-natural partnership of nuclear power an environmentalists.",51
"723","self","s532","I believe our wildlife are extremely important to our survival and i care about all the creatures.",39
"724","social","s533","there may be no reason to go gluten free if you are not highly sensitive to gluten",66
"725","self","s535","This article is about young people protesting inaction on environmental protection policies.",109
"726","self","s537","I truly relate to this one.  When my dogs are sleeping in the same room with me, I am at more comfort and sleep better.  With how the act,  I am sure they feel the same way.",38
"727","self","s538","Despite my best efforts, I suffer from obesity and high blood pressure and would be concerned for my future health.",82
"728","social","s540","This article has to do with a bill that is saving acres of wilderness for the environment.",19
"729","social","s541","This matters because people i know care about the climate and want to help the earth.",41
"730","self","s543","I have a dog and am a current pet owner. Would be nice to know this research data.",38
"731","self","s544","It is about the oil and gas giants",105
"732","social","s545","Farmers, like my family, are having problems with their crops due to increased temperatures.",91
"733","social","s546","The options of plastic or paper and the downsides of each.",57
"734","social","s547","This article is about a study that suggests people traveling less is saving on energy usage.",33
"735","social","s548","Peoples are must know about the climate-related risks.",87
"736","social","s551","i think the politicians needs to be more participative in the climate change",81
"737","social","s552","The article is about when certain foods for vegans start to affect their stomach badly",26
"738","social","s553","Your children need to learn better eating habits.  Here’s how.",2
"739","social","s554","The food that we should avoid inorder to prvent from kidney stone.",46
"740","self","s555","it is about climatic change",35
"741","social","s558","Court blocks Exxon's attempt to stop the investigation into the company's role in climate change.",3
"742","social","s559","because it is very crucials",95
"743","self","s561","Australia is still producing coal.",21
"744","social","s563","There is new science that suggest adding intensity to your workout, pushing yourself to do more, creates benefit in the cells that translate to longer life.",56
"745","social","s567","People I know are into fitness",58
"746","self","s568","Lifestyle makes a tremendous changes in all life of people, we have to take care of our health and should stay healthy.",84
"747","social","s570","This article is about a court dismissing an exxon lawsuit.",3
"748","social","s571","Cancer runs in my family and anything that helps reduce the risk is a positive in my book. Most of us don't have the best diet to begin with and so adding more plants that have flavonoids is likely going to be better for everyone.",22
"749","self","s572","This article raises my awareness on how eating more impacts our weight gain, regardless of exercising. It mentions how a few more bites throughout the day can result in weight gain and I suffer from this daily and it really strikes home for me. This topic is of personal importance to me and many around me.",78
"750","social","s574","Disaster funds are very slow to reach the people who need them and the problem is not going away most likely because of climate change.",13
"751","social","s575","It is about Greta, a girl climate activist from Sweden, and hardships she has had.",65
"752","self","s576","Climate change affects my life and it's good to see young people take a stand on it.",109
"753","self","s577","Products like perfume, deodorant ,pesticides and paint contribute as much as cars to pollution.",107
"754","social","s578","This article matters to me and people I know because I love exercising and many of my friends do as well, so it is good to know that exercise is able to keep our immune systems healthy and our bodies biologically younger.",18
"755","social","s581","People make the good decision.",21
"756","social","s582","Maybe we can learn, as people, to do better things to help Climate Change based on what they did",37
"757","self","s583","it`s a bad news we have a responsibility to take some action against climate change",35
"758","self","s584","Sports that put too little pressure on your bones could be putting people at risk of health issues.",98
"759","self","s587","Healthy eating ideas for kiddos",2
"760","self","s588","This article is about saving money when getting fast food.",70
"761","self","s589","it may have insight as to why I dont get sick as often as others I know",100
"762","social","s592","Lab grown meat could be a good change but fear driven responses to change are often detrimental.",81
"763","social","s593","People should avoid certain things like said above in the headlines to avoid climate change. We never encourage like those things.",75
"764","social","s594","The article gives more information about the flood and its complications.",25
"765","self","s595","Building of strength through simple light exercise",48
"766","social","s598","This article matters to people I know  because climate change affects everyone.",87
"767","social","s599","DON'T WASTE FOOD FOR EVER IN HOLIDAYS. REDUCING IS ONE OF THE BEST OPTION DON'T  TRY NEW METHODS",11
"768","self","s600","I am health conscous",98
"769","social","s602","It is about racing for fun instead of just setting records",62
"770","social","s606","Because is killing florida wildlife.",39
"771","self","s608","pertains to guidelines for optimal health",8
"772","social","s610","Eating processed meat leads to colorectal cancer",28
"773","social","s613","This article does not matter to people I know, I do not know anyone from Australia.",21
"774","self","s615","fitness help us to fight over diseases",34
"775","self","s616","children's playing games and exercising is always good for health.",12
"776","social","s618","It's good to understand what makes a diet healthy, overall.",72
"777","self","s619","I am very interested with this article so i felt very attached with this article.",105
"778","self","s620","Additional World Heritage sites are being threatened by climate change.",85
