"","SID","topic","article_number","scale_name","value","text","tone_pos","tone_neg"
"888","s273","climate",9,"msg_share_broad",64,"the economy and climate change are all making a negative impact on society",0,7.69
"889","s275","health",56,"msg_share_broad",19,"Exercise could help you love longer",33.33,0
"890","s277","climate",93,"msg_share_broad",100,"solar power is very important to produce electricity",12.5,0
"891","s279","climate",35,"msg_share_broad",83,"This article is about the climate change declaration at Arctic Talks",0,0
"892","s281","health",8,"msg_share_broad",50,"This article suggests that it matters more what you eat and not how much you eat.  It says you can eat larger portions of healthy foods.",0,0
"893","s287","climate",33,"msg_share_broad",7,"It matters because I am one of those Americans staying home but I'm not saving energy at home.",0,0
"894","s292","climate",75,"msg_share_broad",2,"The elections have consequences regarding what will be done about climate change and how much it may cost taxpayers.",0,0
"895","s295","health",102,"msg_share_broad",13,"GMOs and people that oppose them don't know that much about them.",0,8.33
"896","s299","health",28,"msg_share_broad",100,"Deli meats increase risk of colon cancer.",0,0
"897","s301","health",64,"msg_share_broad",1,"It is important to state healthy.",16.67,0
"898","s305","health",98,"msg_share_broad",0,"Low impact sports for exercise might make bones weaker in old age",0,8.33
"899","s308","health",58,"msg_share_broad",71,"It is about high intensity interval training tool.",0,0
"900","s313","health",84,"msg_share_broad",3,"The possibility of diet and exercise reduce artery plaque.",0,0
"901","s316","climate",75,"msg_share_broad",0,"The article is a summation of the election results relative to climate change issues.",0,0
"902","s319","health",76,"msg_share_broad",84,"This article is very motivational",0,0
"903","s321","health",80,"msg_share_broad",73,"This article is about skin infections.",0,0
"904","s324","climate",77,"msg_share_broad",1,"A zoologist wrote that polar bears are fine, climate scientists disagree.",9.09,9.09
"905","s327","climate",45,"msg_share_broad",12,"relate to the ultimate sports fans",0,0
"906","s329","climate",9,"msg_share_broad",0,"This article matters to people I know because both of those issues are key to survival.  The environment is key to the survival of our species and the other is survival economically.",0,0
"907","s331","health",72,"msg_share_broad",56,"Taking supplement is healthier way and increase the nutrition.",0,0
"908","s337","climate",25,"msg_share_broad",0,"I guess that this could push people into higher density living as usable land decreases. I like having a modest amount of space to live in and the reduced traffic from a moderate level of population density.",0,0
"909","s344","climate",69,"msg_share_broad",68,"Waste managers often call this wishful recycling but it is wrong. Because it can do more harm than good.",5.26,10.53
"910","s348","climate",97,"msg_share_broad",85,"I hope we do something about climate change soon",11.11,0
"911","s352","climate",55,"msg_share_broad",88,"This article matters because it will help to reduce climate change with the aid of recycling",6.25,0
"912","s358","health",0,"msg_share_broad",48,"Very useful tip to weight loss",16.67,0
"913","s361","climate",23,"msg_share_broad",0,"The article concerns the fact that Americans are still building homes in flood-prone areas, despite our increased awareness in climate change concerns.",0,0
"914","s364","climate",105,"msg_share_broad",65,"Some people I know are interested in the environment and safety of it.",15.38,0
"915","s371","health",16,"msg_share_broad",0,"The benefit of exercising seems to be directly related to the length of life.",7.14,0
"916","s373","climate",1,"msg_share_broad",52,"Using wind energy could be useful in the future.",11.11,0
"917","s380","health",26,"msg_share_broad",0,"Because of a disease, a person had to give up food that would otherwise be healthy for them.",0,0
"918","s387","climate",99,"msg_share_broad",3,"climate change leading to more bigger problems",0,0
"919","s394","climate",15,"msg_share_broad",64,"effects of global warming",0,0
"920","s396","health",96,"msg_share_broad",100,"Treat eating disorders to help.",20,0
"921","s400","health",80,"msg_share_broad",66,"Can statins use increase skin infection?",0,0
"922","s402","climate",33,"msg_share_broad",89,"It's about how the world has been changed because of people keeps to work and stay at home",5.56,0
"923","s406","health",52,"msg_share_broad",46,"It is about how eating more meat leads to higher chances of breast cancer in the study/studies they are citing.",0,0
"924","s412","climate",105,"msg_share_broad",43,"the article give information about  california and new york have sued oil and gas giants",6.67,0
"925","s415","health",62,"msg_share_broad",65,"this is strange. all strive for records",14.29,0
"926","s419","climate",91,"msg_share_broad",8,"earth had its hottest june this year",0,0
"927","s421","health",18,"msg_share_broad",79,"Working out and doing cardio like cycling professionals do probably does keep you biologically younger.",6.67,0
"928","s423","climate",1,"msg_share_broad",13,"We all need to get on board with solutions for clean energy.",8.33,0
"929","s432","climate",77,"msg_share_broad",12,"This article is about climate change and how scientists are trying to expose a fabricated blog about polar bears.",0,0
"930","s435","health",78,"msg_share_broad",61,"The differences experiences throught the lossing weight process due to  individual biological differences.",0,0
"931","s437","health",108,"msg_share_broad",NA,"health is wealth so low calorie food like eat maintain our body level",0,0
"932","s442","health",44,"msg_share_broad",76,"babies should only be fed breastmilk until 6 months under current guidelines.",0,0
"933","s445","climate",19,"msg_share_broad",69,"conservation bill makes the statement",0,0
"934","s448","health",34,"msg_share_broad",54,"This article is about a study which suggests a correlation between physical fitness and reduced rates of Dementia, in middle aged women.",0,0
"935","s450","health",28,"msg_share_broad",0,"I do tend to eat deli meats at least weekly, so it is slightly relevant.",0,0
"936","s454","health",0,"msg_share_broad",64,"Skipping breakfast as weight loss strategy.",0,0
"937","s457","climate",35,"msg_share_broad",1,"The US blocked the Artic Council's ability to issue a joint declaration regarding climate change.",0,0
"938","s462","climate",107,"msg_share_broad",21,"Everyone wants cleaner air, right?",20,0
"939","s466","climate",15,"msg_share_broad",73,"It matters to people I know because these storms can damage their homes or kill them.",0,6.25
"940","s470","climate",49,"msg_share_broad",10,"Most of the people i know recycle so it would matter to them to know where its going and if it is really being recycled.",0,0
"941","s473","health",66,"msg_share_broad",74,"it's about diet for people with a high in gluten",0,0
"942","s478","health",88,"msg_share_broad",73,"There are more diseases spreading across. But there is not much information about it and how to cure it.",0,0
"943","s481","health",12,"msg_share_broad",86,"If kids play it helps the US save money, presumably because of health benefits of activity",18.75,0
"944","s483","health",96,"msg_share_broad",0,"As a husband of a woman with an eating disorder, all I want to do is help! I just wish I knew how",4.35,0
"945","s487","climate",57,"msg_share_broad",63,"It feels me better understanding",20,0
"946","s490","climate",43,"msg_share_broad",26,"Coal is a dirty fuel and should be used less.",0,10
"947","s493","health",14,"msg_share_broad",11,"Moving around is good for the brain and your age",10,0
"948","s495","health",4,"msg_share_broad",76,"This article matters to older family members of mine who have strong sweet-tooths and are also diabetic and over the age of 60",4.35,0
"949","s497","climate",71,"msg_share_broad",5,"This is a summary (or a highlight, or a title) of an article about climate change and perhaps automakers and their expectations.",0,0
"950","s499","climate",27,"msg_share_broad",70,"climate change is natural one ,we must make a pre-safety method for our protection",0,0
"951","s504","health",58,"msg_share_broad",21,"This article is about how a heart monitor can make High-intensity interval training fun and easier for people to do.",10,0
"952","s506","climate",101,"msg_share_broad",94,"A rare animal called the vaquita died because they were trying to capture and rehabilitate it so now there are only 30 left.",0,0
"953","s512","health",58,"msg_share_broad",0,"I work out and sometimes do these type of exercises",0,0
"954","s514","health",40,"msg_share_broad",1,"Good to know so I don't waste effort on this!",10,0
"955","s516","climate",95,"msg_share_broad",47,"as i said before climate change is to learn by everybody and particularly about global warming",0,0
"956","s520","climate",89,"msg_share_broad",100,"This article matters to me because all lives matter, even animals. Weakening the law will kill off species that are endangered!",0,9.52
"957","s526","climate",33,"msg_share_broad",71,"Traveling less to save energy overall.",0,0
"958","s529","health",74,"msg_share_broad",34,"Study suggests that a common gut bacterium may help obese people with metabolic disorders.",7.14,0
"959","s531","health",54,"msg_share_broad",23,"Because this applies to most of us living in the midwest.",0,0
"960","s533","health",62,"msg_share_broad",5,"This could help people I know to come up with new challenges in their workout routine.",18.75,0
"961","s537","climate",37,"msg_share_broad",13,"Ancient Egyptian lifestyle could only make it for so long.  That way of life could not survive.",0,0
"962","s540","health",18,"msg_share_broad",21,"This matters to people i know because it shows that exercise can help keep your immune system in tip top shape, which is important given the corona virus situation.",10.34,0
"963","s543","climate",35,"msg_share_broad",4,"US and its decision about climate change",0,0
"964","s545","climate",97,"msg_share_broad",100,"Some think that climate change isn't real, please read these real stories from the front lines.",0,0
"965","s547","climate",37,"msg_share_broad",47,"It matters because some people are interested in history and would find it interesting to know how the pharaohs lived.",10,0
"966","s551","health",84,"msg_share_broad",57,"yes i think we can make improvement in our body and mind every time in the day",11.76,0
"967","s553","health",4,"msg_share_broad",0,"Sugar is bad all around!",0,20
"968","s555","health",34,"msg_share_broad",80,"fitness is very important for healthy body",14.29,0
"969","s559","climate",91,"msg_share_broad",53,"because it is very uselful to people",0,0
"970","s563","health",50,"msg_share_broad",63,"Everyone is always telling me how much worse red meat is for me and now science is proving them wrong.",0,10
"971","s568","climate",83,"msg_share_broad",100,"Climate change creates an greater impact for all people who were environmental friendly. I always prefer to protect our environment for our future generations.",4.17,0
"972","s571","climate",27,"msg_share_broad",4,"Young people absolutely need to continue to fight against climate change and I feel that taking it to the streets and/or a strike like this is one of the best means to do it.",0,2.86
"973","s574","climate",11,"msg_share_broad",11,"This article would matter mostly the people I know because of the holiday food waste mention.  not so much about climate issues.",4.55,0
"974","s576","health",100,"msg_share_broad",37,"Luck, genetics, and lifestyle are the items that help determine how you handle sickness.",14.29,0
"975","s578","health",14,"msg_share_broad",0,"Exercise such as walking or dancing is very beneficial for the brain, especially as we age. Socializing is also important.",10,0
"976","s582","climate",31,"msg_share_broad",45,"You can help the Earth by consuming less in 2021",10,0
"977","s584","health",94,"msg_share_broad",65,"Sugary drinks are a huge boon to health and quitting can bring a lot of health improvements.",5.88,0
"978","s588","climate",77,"msg_share_broad",35,"This article is about climate change deniers and where they get their information.",0,0
"979","s592","health",80,"msg_share_broad",25,"This has been known for years and doctors keep prescribing them.",9.09,0
"980","s594","climate",21,"msg_share_broad",52,"Its about the regulations in Australian coal mine .",0,0
"981","s598","health",84,"msg_share_broad",48,"This article matters to people I know because not eating healthy, smoking, being stressed and lack of exercise is something all of them do. This will help them learn how to turn all of that around and possibly prevent them from having a heart attack in the future",2.08,2.08
"982","s600","health",90,"msg_share_broad",28,"Hearing loss impacts motor skills",0,20
"983","s606","health",32,"msg_share_broad",43,"Sugary drinks are non benefit to people life.",12.5,0
"984","s610","health",20,"msg_share_broad",40,"A farmer's shopping with chef Tom Colicchio about avoid wasting food.",0,0
"985","s615","health",30,"msg_share_broad",100,"advantages of eating sea food",0,0
"986","s618","health",74,"msg_share_broad",42,"My grandfather was obese and it led to the health issues that made him pass.",0,0
"987","s620","health",84,"msg_share_broad",82,"Great information on how to possibly improve and extend my life",18.18,0
"988","s622","climate",41,"msg_share_broad",77,"A proposal to reduce the 28 country bloc's net carbon emission failed",0,0
"989","s624","climate",13,"msg_share_broad",31,"Even though there are a lot of disaters, the billions of money for recovery are not being spent. Govt aid is too slow.",4.35,0
"990","s627","climate",19,"msg_share_broad",0,"Protecting the environment is important.",20,0
"991","s629","climate",29,"msg_share_broad",53,"As a citizen I too will be affected.",0,0
"992","s631","health",96,"msg_share_broad",0,"People with eating disorders need help from partners, but partners are apparently clueless.",7.69,7.69
"993","s635","health",22,"msg_share_broad",59,"Flavanoid rich foods lower chances of cancer and cardiovascular death.",10,0
"994","s638","health",68,"msg_share_broad",62,"Which gives more energy while playing between those two?",11.11,0
"995","s640","climate",97,"msg_share_broad",67,"I have personally known to climate change of this year...",0,0
"996","s001","climate",3,"msg_share_narrow",33,"I guess if they are harming the environment that I live in then they should be punished for that.",0,10.53
"997","s003","health",78,"msg_share_narrow",0,"Explains why even though people exercise they don't lose the weight they want to.",0,7.14
"998","s005","health",80,"msg_share_narrow",100,"Statin drugs to lower cholesterol can lead to a higher risk of staph skin infections.",0,0
"999","s009","health",60,"msg_share_narrow",75,"I am a young person who is attempting to become a parent in near future",0,0
"1000","s012","health",104,"msg_share_narrow",65,"This article matters to people I know because a lot of them know of someone or has gone through breast cancer.",0,0
"1001","s015","climate",41,"msg_share_narrow",15,"This is about countries that would lose a lot of money if they went with saving the planet. They are more interested in their own salvation rather than the planets.",6.67,3.33
"1002","s018","climate",95,"msg_share_narrow",0,"This matters because the average citizens will be forced to see more ads regarding this issue on tv and social media. It exposes us to more ads whether we support it or not.",3.03,0
"1003","s020","health",88,"msg_share_narrow",0,"A new snake oil called CBD has unknow effects to scientists.",9.09,0
"1004","s024","health",24,"msg_share_narrow",20,"I know a few people who have had cancer and would find this interesting.",7.14,0
"1005","s028","health",106,"msg_share_narrow",79,"This article is about obesity",0,0
"1006","s031","health",42,"msg_share_narrow",84,"The article  contains nutritious information.",20,0
"1007","s036","health",92,"msg_share_narrow",4,"I worry about the health of children.",0,14.29
"1008","s038","climate",69,"msg_share_narrow",11,"Recycling has proper protocol that takes information to know what is recyclable instead of fitting in with the green crowd.",0,0
"1009","s041","health",50,"msg_share_narrow",96,"This article matters to friends and family that I know because it concerns their wellbeing, so they know what type of meat to eat that won't harm their health in long term.",3.13,3.13
"1010","s043","health",16,"msg_share_narrow",1,"People know they need to exercise, and reminders help",11.11,0
"1011","s046","health",50,"msg_share_narrow",67,"the meat cause the increase in the cholesterol that cause affect in the heart disease affects personally",0,0
"1012","s049","health",96,"msg_share_narrow",20,"Someone I know might be dating someone else with an eating disorder.",0,0
"1013","s052","health",6,"msg_share_narrow",83,"This articles describes why mice have shown that exercise may not be the key to weight loss.",0,0
"1014","s054","climate",81,"msg_share_narrow",10,"They discussed solution to rising global temperatures.",0,0
"1015","s056","climate",109,"msg_share_narrow",24,"Children worldwide joined the fight against climate change.",12.5,12.5
"1016","s058","climate",29,"msg_share_narrow",53,"This is bad for our environment and I care about the environment.",8.33,8.33
"1017","s063","climate",25,"msg_share_narrow",0,"Advice on dealing with floods.",0,0
"1018","s065","health",76,"msg_share_narrow",83,"It's about how we do slow as we age, but it isn't as bad and as steep as many people believe it to be.",0,4.17
"1019","s067","climate",81,"msg_share_narrow",15,"A breakdown of a conference focused on climate technology.",0,0
"1020","s069","climate",109,"msg_share_narrow",0,"An article about youth taking a stand to help climate change.",9.09,0
"1021","s072","health",24,"msg_share_narrow",74,"A cancer researcher started a company to crowd-source an individualized approach to cancer which he personally had.",0,0
"1022","s074","climate",105,"msg_share_narrow",100,"Fighting against climate change",0,25
"1023","s076","health",12,"msg_share_narrow",1,"its about how if children got up off their ass and did some physical activity it would save our nation a boatload of money",0,0
"1024","s079","health",100,"msg_share_narrow",96,"about colds and flu and if having a strong immune system can fight it",7.14,7.14
"1025","s081","health",72,"msg_share_narrow",1,"it wouldn't matter because nobody I know runs",0,0
"1026","s083","climate",89,"msg_share_narrow",78,"It matters because it affects the environment and could mess it up.",0,8.33
"1027","s085","health",20,"msg_share_narrow",1,"This article would help people avoid waste while grocery shopping.",10,0
"1028","s089","climate",17,"msg_share_narrow",19,"The fires in California are still burning, and it's important to learn how to deal with it.",5.88,0
"1029","s092","climate",87,"msg_share_narrow",51,"People will suffer more with the climate change.",0,12.5
"1030","s095","climate",41,"msg_share_narrow",0,"We need to combat global warming and it will require many nations, including those in the EU, to commit to it",0,4.76
"1031","s099","health",58,"msg_share_narrow",21,"fun heart monitors in fitness?  i dont buy it",11.11,0
"1032","s101","climate",33,"msg_share_narrow",30,"Restricting travel by staying home conserves energy.",0,14.29
"1033","s104","climate",99,"msg_share_narrow",91,"This article matters to me because I am concerned about the impact of climate change and also concerned about natural disasters and the damage they cause.",0,0
"1034","s108","health",10,"msg_share_narrow",16,"A supplement used for things like losing weight, gaining muscle among others could be fatal.",0,13.33
"1035","s111","climate",53,"msg_share_narrow",99,"I live in an area where hurricanes are very prevalent.",0,0
"1036","s113","health",82,"msg_share_narrow",50,"This article matter to me personally because I want to be healthy and live a long healthy life free of any diseases like Parkinson's disease.",4,0
"1037","s115","climate",59,"msg_share_narrow",27,"Figuring out what land will be under water in 20 years will be a good money maker for some.",5.26,0
"1038","s117","climate",61,"msg_share_narrow",78,"wildlife exploration is the best thing",0,0
"1039","s119","climate",5,"msg_share_narrow",0,"Some skier thinks the world is going to run out of snow. Also, scientist win a prize by mapping peat.",5,0
"1040","s121","health",74,"msg_share_narrow",11,"A pill may help people who are overweight.",12.5,12.5
"1041","s123","climate",1,"msg_share_narrow",90,"I know people who are interested in alternative energy sources for use at home.",7.14,0
"1042","s125","health",46,"msg_share_narrow",0,"What to eat and drink to prevent kidney stones",0,0
"1043","s127","health",2,"msg_share_narrow",3,"please give only healthy food for their children",0,0
"1044","s132","climate",9,"msg_share_narrow",0,"It just depresses me",0,25
"1045","s134","climate",55,"msg_share_narrow",21,"This article is about how to adjust your lifestyle so you are not using Single-Use plastics as much.",0,0
"1046","s137","health",84,"msg_share_narrow",100,"Many of my friends are smokers are on the heavier side. I believe this article basically illustrates a real potential reality of those who fit this category. Article brings forth evidence allowing for those I know make the decision to make a difference before they suffer from a heart attack due to the plaque build directed from their lifestyle.",0,1.69
"1047","s140","climate",93,"msg_share_narrow",43,"Because they want to switch to green energy",0,0
"1048","s143","health",46,"msg_share_narrow",40,"eat calcium rich foods to avoid kidney stone.",12.5,0
"1049","s146","climate",107,"msg_share_narrow",64,"I have a bit of an interest in scents and collect them, so this is kind of a worrying article.",0,5
"1050","s149","climate",71,"msg_share_narrow",96,"The spring season comes to end after the climate change",0,0
"1051","s151","health",12,"msg_share_narrow",82,"It's sad to see that children are more interested in tv, video games and electronics and not getting out and getting physical exercise",4.35,4.35
"1052","s155","climate",69,"msg_share_narrow",100,"Things that may not actually be recyclable.",0,0
"1053","s157","climate",17,"msg_share_narrow",81,"The Article about forecast warming world",0,0
"1054","s160","health",42,"msg_share_narrow",65,"This is important because humans like us need nutrients to strengthen our immune system",21.43,0
"1055","s163","climate",27,"msg_share_narrow",0,"We can hope that these people who have joined the call will actually do something rather than sit on their laurels but it's important that the call to action has grown larger and includes a younger generation.",8.11,0
"1056","s167","climate",87,"msg_share_narrow",56,"This matters to me because it is likely to impact the world economy in a negative way which could impact the financial stability of my own life.",0,3.7
"1057","s170","climate",69,"msg_share_narrow",87,"this is about how wrong we are in recycling simple things wrongly",0,16.67
"1058","s177","health",22,"msg_share_narrow",75,"Flavonoids in plants can lower your cancer risk",0,0
"1059","s184","climate",91,"msg_share_narrow",73,"The planet is experiencing hotter months than ever, specifically in June.",0,0
"1060","s186","health",56,"msg_share_narrow",60,"Physical exercise obviously goes back much further than that, to a time where people wouldn't have thought of it as working out, but rather a way of life.It is very important article to me.",2.86,0
"1061","s189","health",20,"msg_share_narrow",0,"A chef making suggestions for shopping at a farmers market",0,0
"1062","s192","health",56,"msg_share_narrow",65,"This article matters to me personally because I want to be healthy and take care of my body.",5.56,0
"1063","s194","climate",31,"msg_share_narrow",16,"It is important to me to address climate change so wasy to do that is good.",12.5,0
"1064","s196","health",30,"msg_share_narrow",73,"It contains important information that I did not know about fish making us smarter.",14.29,0
"1065","s198","climate",87,"msg_share_narrow",88,"This article about the climate change in next 5 years this article makes me feel fearful.",0,6.25
"1066","s201","climate",83,"msg_share_narrow",16,"The problem is there are so few green energy providers in our state. It's hard to make changes when they're not available. :(",0,4.35
"1067","s204","health",14,"msg_share_narrow",9,"Motion keeps the brain on its toes as it ages.",10,0
"1068","s206","climate",81,"msg_share_narrow",73,"very much useful conference.",25,0
"1069","s208","health",54,"msg_share_narrow",78,"the highest level of weght associated cancer are in the south,my esidence also in the south side",0,0
"1070","s211","health",64,"msg_share_narrow",0,"The article indicates that increased consumption of plant proteins may lead to lower rates of cardiovascular death or stroke, thus lengthening life spans",0,0
"1071","s214","health",44,"msg_share_narrow",76,"looks like babies can have food sooner than we thought",0,0
"1072","s216","health",14,"msg_share_narrow",0,"How dancing can be good for your brain.",12.5,0
"1073","s218","climate",53,"msg_share_narrow",30,"It affect many people lives",0,0
"1074","s222","climate",9,"msg_share_narrow",49,"A major scientific report issued by 13 federal agencies on Friday presents the starkest warnings to date of the consequences of climate change for the United States, predicting that if significant steps are not taken to rein in global warming, the damage will knock as much as 10 percent off the size of the American economy by century’s end.",0,3.39
"1075","s224","health",88,"msg_share_narrow",0,"This matters to me if I decide to use CBD.",0,0
"1076","s230","health",38,"msg_share_narrow",48,"Being a dog lover, I have found that having a dog in the bedroom makes me sleep better knowing I have security.  Researchers know what others have known for centuries, its wise to have a dog for protection. You will sleep well.",9.52,0
"1077","s235","climate",89,"msg_share_narrow",74,"It is about knowing the details and making their actions clear",0,0
"1078","s237","health",64,"msg_share_narrow",40,"PROTEIN HELPS US TO LIVE LONGER",16.67,0
"1079","s243","health",60,"msg_share_narrow",85,"Happy to have this helpful info to share with parents-to-be!",20,0
"1080","s248","climate",13,"msg_share_narrow",61,"This article very much influencing in my thoughts. Because many of Americans started to make conversation about climate change and its impacts. This article claims that the climate changing creates disaster. Partially it must be true",0,0
"1081","s250","health",60,"msg_share_narrow",90,"This article matters to me personally because I offered vitamin D to my wife during her pregnancy.",5.88,0
"1082","s255","health",54,"msg_share_narrow",0,"This would just be relevant health information for the people I know to keep in mind. No one I know is obese, though.",8.7,0
"1083","s258","health",14,"msg_share_narrow",100,"Activities for active brain.",0,0
"1084","s260","health",58,"msg_share_narrow",19,"Heart monitors can make HIIT fun and exciting to do.",20,0
"1085","s262","health",56,"msg_share_narrow",100,"I have been feeling very fit lately as i have intensified my workout about 5% more than the usual.",0,0
"1086","s268","health",44,"msg_share_narrow",100,"I feel that the it is important that a baby can go on solid foods earlier and it would help me out on the formula and save me some money to and they will get healthy foods",5.41,0
"1087","s273","climate",9,"msg_share_narrow",27,"the economy and climate change are all making a negative impact on society",0,7.69
"1088","s275","health",56,"msg_share_narrow",7,"Exercise could help you love longer",33.33,0
"1089","s277","climate",93,"msg_share_narrow",100,"solar power is very important to produce electricity",12.5,0
"1090","s279","climate",35,"msg_share_narrow",74,"This article is about the climate change declaration at Arctic Talks",0,0
"1091","s281","health",8,"msg_share_narrow",61,"This article suggests that it matters more what you eat and not how much you eat.  It says you can eat larger portions of healthy foods.",0,0
"1092","s287","climate",33,"msg_share_narrow",9,"It matters because I am one of those Americans staying home but I'm not saving energy at home.",0,0
"1093","s292","climate",75,"msg_share_narrow",62,"The elections have consequences regarding what will be done about climate change and how much it may cost taxpayers.",0,0
"1094","s295","health",102,"msg_share_narrow",15,"GMOs and people that oppose them don't know that much about them.",0,8.33
"1095","s299","health",28,"msg_share_narrow",100,"Deli meats increase risk of colon cancer.",0,0
"1096","s301","health",64,"msg_share_narrow",1,"It is important to state healthy.",16.67,0
"1097","s305","health",98,"msg_share_narrow",75,"Low impact sports for exercise might make bones weaker in old age",0,8.33
"1098","s308","health",58,"msg_share_narrow",62,"It is about high intensity interval training tool.",0,0
"1099","s313","health",84,"msg_share_narrow",3,"The possibility of diet and exercise reduce artery plaque.",0,0
"1100","s316","climate",75,"msg_share_narrow",32,"The article is a summation of the election results relative to climate change issues.",0,0
"1101","s319","health",76,"msg_share_narrow",69,"This article is very motivational",0,0
"1102","s321","health",80,"msg_share_narrow",75,"This article is about skin infections.",0,0
"1103","s324","climate",77,"msg_share_narrow",2,"A zoologist wrote that polar bears are fine, climate scientists disagree.",9.09,9.09
"1104","s327","climate",45,"msg_share_narrow",45,"relate to the ultimate sports fans",0,0
"1105","s329","climate",9,"msg_share_narrow",54,"This article matters to people I know because both of those issues are key to survival.  The environment is key to the survival of our species and the other is survival economically.",0,0
"1106","s331","health",72,"msg_share_narrow",68,"Taking supplement is healthier way and increase the nutrition.",0,0
"1107","s337","climate",25,"msg_share_narrow",0,"I guess that this could push people into higher density living as usable land decreases. I like having a modest amount of space to live in and the reduced traffic from a moderate level of population density.",0,0
"1108","s344","climate",69,"msg_share_narrow",61,"Waste managers often call this wishful recycling but it is wrong. Because it can do more harm than good.",5.26,10.53
"1109","s348","climate",97,"msg_share_narrow",87,"I hope we do something about climate change soon",11.11,0
"1110","s352","climate",55,"msg_share_narrow",87,"This article matters because it will help to reduce climate change with the aid of recycling",6.25,0
"1111","s358","health",0,"msg_share_narrow",26,"Very useful tip to weight loss",16.67,0
"1112","s361","climate",23,"msg_share_narrow",0,"The article concerns the fact that Americans are still building homes in flood-prone areas, despite our increased awareness in climate change concerns.",0,0
"1113","s364","climate",105,"msg_share_narrow",50,"Some people I know are interested in the environment and safety of it.",15.38,0
"1114","s371","health",16,"msg_share_narrow",0,"The benefit of exercising seems to be directly related to the length of life.",7.14,0
"1115","s373","climate",1,"msg_share_narrow",39,"Using wind energy could be useful in the future.",11.11,0
"1116","s380","health",26,"msg_share_narrow",0,"Because of a disease, a person had to give up food that would otherwise be healthy for them.",0,0
"1117","s387","climate",99,"msg_share_narrow",0,"climate change leading to more bigger problems",0,0
"1118","s394","climate",15,"msg_share_narrow",56,"effects of global warming",0,0
"1119","s396","health",96,"msg_share_narrow",100,"Treat eating disorders to help.",20,0
"1120","s400","health",80,"msg_share_narrow",92,"Can statins use increase skin infection?",0,0
"1121","s402","climate",33,"msg_share_narrow",86,"It's about how the world has been changed because of people keeps to work and stay at home",5.56,0
"1122","s406","health",52,"msg_share_narrow",30,"It is about how eating more meat leads to higher chances of breast cancer in the study/studies they are citing.",0,0
"1123","s412","climate",105,"msg_share_narrow",56,"the article give information about  california and new york have sued oil and gas giants",6.67,0
"1124","s415","health",62,"msg_share_narrow",30,"this is strange. all strive for records",14.29,0
"1125","s419","climate",91,"msg_share_narrow",12,"earth had its hottest june this year",0,0
"1126","s421","health",18,"msg_share_narrow",92,"Working out and doing cardio like cycling professionals do probably does keep you biologically younger.",6.67,0
"1127","s423","climate",1,"msg_share_narrow",55,"We all need to get on board with solutions for clean energy.",8.33,0
"1128","s432","climate",77,"msg_share_narrow",13,"This article is about climate change and how scientists are trying to expose a fabricated blog about polar bears.",0,0
"1129","s435","health",78,"msg_share_narrow",74,"The differences experiences throught the lossing weight process due to  individual biological differences.",0,0
"1130","s437","health",108,"msg_share_narrow",54,"health is wealth so low calorie food like eat maintain our body level",0,0
"1131","s442","health",44,"msg_share_narrow",88,"babies should only be fed breastmilk until 6 months under current guidelines.",0,0
"1132","s445","climate",19,"msg_share_narrow",82,"conservation bill makes the statement",0,0
"1133","s448","health",34,"msg_share_narrow",100,"This article is about a study which suggests a correlation between physical fitness and reduced rates of Dementia, in middle aged women.",0,0
"1134","s450","health",28,"msg_share_narrow",0,"I do tend to eat deli meats at least weekly, so it is slightly relevant.",0,0
"1135","s454","health",0,"msg_share_narrow",27,"Skipping breakfast as weight loss strategy.",0,0
"1136","s457","climate",35,"msg_share_narrow",1,"The US blocked the Artic Council's ability to issue a joint declaration regarding climate change.",0,0
"1137","s462","climate",107,"msg_share_narrow",14,"Everyone wants cleaner air, right?",20,0
"1138","s466","climate",15,"msg_share_narrow",43,"It matters to people I know because these storms can damage their homes or kill them.",0,6.25
"1139","s470","climate",49,"msg_share_narrow",18,"Most of the people i know recycle so it would matter to them to know where its going and if it is really being recycled.",0,0
"1140","s473","health",66,"msg_share_narrow",76,"it's about diet for people with a high in gluten",0,0
"1141","s478","health",88,"msg_share_narrow",55,"There are more diseases spreading across. But there is not much information about it and how to cure it.",0,0
"1142","s481","health",12,"msg_share_narrow",69,"If kids play it helps the US save money, presumably because of health benefits of activity",18.75,0
"1143","s483","health",96,"msg_share_narrow",49,"As a husband of a woman with an eating disorder, all I want to do is help! I just wish I knew how",4.35,0
"1144","s487","climate",57,"msg_share_narrow",44,"It feels me better understanding",20,0
"1145","s490","climate",43,"msg_share_narrow",50,"Coal is a dirty fuel and should be used less.",0,10
"1146","s493","health",14,"msg_share_narrow",10,"Moving around is good for the brain and your age",10,0
"1147","s495","health",4,"msg_share_narrow",0,"This article matters to older family members of mine who have strong sweet-tooths and are also diabetic and over the age of 60",4.35,0
"1148","s497","climate",71,"msg_share_narrow",43,"This is a summary (or a highlight, or a title) of an article about climate change and perhaps automakers and their expectations.",0,0
"1149","s499","climate",27,"msg_share_narrow",55,"climate change is natural one ,we must make a pre-safety method for our protection",0,0
"1150","s504","health",58,"msg_share_narrow",50,"This article is about how a heart monitor can make High-intensity interval training fun and easier for people to do.",10,0
"1151","s506","climate",101,"msg_share_narrow",89,"A rare animal called the vaquita died because they were trying to capture and rehabilitate it so now there are only 30 left.",0,0
"1152","s512","health",58,"msg_share_narrow",0,"I work out and sometimes do these type of exercises",0,0
