"","SID","value","arousal","tone"
"1226","s052","Since I don't believe Climate Change is man made I am disapointed by the judge in this article.",NA,NA
"2136","s214","figure out if food nutrients go up or down after being cooked",NA,NA
"3442","s434","this article is about cancer researcher takes cancer personally.",NA,NA
"1975","s627","I know some old people",NA,NA
"2439","s079","companies being sued",NA,NA
"398","s001","I tend to drink a lot of sugary drinks, so this information will help me cut back on that habit.",NA,NA
"2316","s540","This article is about how climate change is causing more dangerous rains.",NA,NA
"1717","s186","Climate change can contribute to the intensity of heat waves by increasing the chances of very hot days and nights.",NA,NA
"2867","s120","gluten-free is not always best",NA,NA
"1546","s576","The extinction of various species is not a good sign for the state of our Earth.",NA,NA
"3193","s024","This talks about coal mining restrictions in Australia.",NA,NA
"3957","s623","hardwork makes the life convenience",NA,NA
"2085","s136","This article is about how exercise helps older people to be healthier and biologically younger.",NA,NA
"3771","s297","It always worries me when I see homes being built in flood areas.",NA,NA
"2211","s345","I think we really need to get our kids moving around in order for them to lead happy and healthy lives.",NA,NA
"3490","s513","Many people I know are concerned about the ocean and our environment and what should be done to help the situation",NA,NA
"1819","s358","It made a big impact on my health",NA,NA
"2094","s149","The new study about Great Pacific Garbage Patch's Is Ballooning and counting.",NA,NA
"3359","s273","how eating sugar can cause you to have diabetes",NA,NA
"859","s089","The fires in California are still burning, and it's important to learn how to deal with it.",NA,NA
"1488","s487","It gives me better information",NA,NA
"868","s103","Carbon emissions could get worse for us and it could pollute our fresh air.",NA,NA
"376","s613","Different vegan foods that can lead to gout.",NA,NA
"2869","s122","Parents may be responsible for their children's weight issues",NA,NA
"280","s456","Because i am one of the natural lover",NA,NA
"2982","s305","If I knew someone with an eating disorder I would want to know how I could help them",NA,NA
"2804","s038","People who want or don't want energy independence will have something to argue about.",NA,NA
"981","s277","solar power is very important to produce electricity",NA,NA
"1428","s371","Widespread fires are becoming more frequent and dangerous that the likelihood it could burn something of my property is increasing.",NA,NA
"715","s517","The Article is about climate change",NA,NA
"1249","s080","I want to be healthy and so I try to avoid things that could damage my body.",NA,NA
"3451","s448","A historical account of efforts to control climate change matter very much to people like me. We are faced with serious problems of climate change, and history can be a great source of information.",NA,NA
"2254","s437","unity is best policy i think so",NA,NA
"3925","s572","This article gives me a sense of pride knowing that scientists are stepping forward to refute the claims of climate change denialists. While they say polar bears are fine, scientists focus on a blog that spreads missinformation from a Canadian zoologist and this makes me proud to see that they are willing to fight the battle of misinformation being spread and promote widespread awareness of the truth.",NA,NA
"1825","s371","Government is not helping by spending toward relief even though disasters are getting really bad.",NA,NA
"605","s314","I believe it is important to take care of one's health and keeping up with new medical developments and findings is one part of doing just that.",NA,NA
"1828","s375","I sometimes struggle to loose those ""stubborn"" lbs (really fat deposits) even though I exercise. It is mainly the infamous ""Love Handles"" that are stubborn. This article will probably have some insights and outsights about those ""stubborn"" lbs.",NA,NA
"3373","s295","About the rise of sleep apnea",NA,NA
"3430","s411","it is used to childrens and it is increase n children's health and protein level",NA,NA
"2966","s277","romantic partners with eating disorders will affect the others too.",NA,NA
"2732","s570","This article is about doomsayers saying the environment and economy is collapsing.",NA,NA
"2813","s051","The article talks about a supplement that has increased gut bacteria in mice and allowed them to run faster, which could be used to help improve human exercise performance.",NA,NA
"647","s401","Energy saving is a good thing but the headline of the article is very straight to say",NA,NA
"3625","s073","This article matter because people I know exercise and would be interested in this.",NA,NA
"1797","s316","The article is about the misperception that we must slow significantly as we age.",NA,NA
"159","s224","A program helps children with before school activities.",NA,NA
"928","s193","Having a heavy food regularly can push the people into obesity problem and it make the people life time to shorter.",NA,NA
"978","s274","It is a very interesting news",NA,NA
"2983","s307","I did not know about this",NA,NA
"653","s414","There was a big disagreement on how to handle the Arctic at a climate change talk with the council. They are trying to protect the environment from damage.",NA,NA
"1402","s319","This is about garbage patch",NA,NA
