tone_ratings,value,SID
1.0,Parents affect childrens' health outcomes.,s049
1.0,The article describes the results of climate change issues that were on election ballots this year.,s051
1.0,This article is how to get kid's to eat healthy.,s052
0.0,It shows how climate change is already effecting people across the world.,s053
0.0,Symptoms of poor cardiovascular health may be linked to an increased risk for Parkinson's disease.,s054
1.0,Global warming and climate change are becoming more of a public focus.,s055
1.0,Having more tools to fight cancer is important in saving lives.,s056
0.0,"I used to drink a lot of carbonated beverages until I became diabetic. They serve no value to our diet and cause obesity, bad dental health, and diabetes.",s057
0.0,A vegan got gout and had to change his diet.,s058
1.0,"People I know care about the environment and want to make sure they make the right choices and when they need to choose between paper or plastic at the grocery store, I'm sure people I know want to make sure that they are making the right choices that will less damage the environment.",s062
1.0,A chef is providing advice for how to shop well for cooking.,s063
1.0,dogs sleep well in their owners' bedrooms,s064
1.0,This article is about a probiotic that will help with obesity.,s065
1.0,Changes on climate and what we can do,s066
0.0,Because we need look out for the environment before it's too late (if it's not already),s067
1.0,I don't really know anyone with even a history of parkinsons but it could inform someone who knows a person who does. good info for everyone.,s068
1.0,This article provides information about GMO's that people may not know about.,s069
0.0,"This is so sad, I hate to see animals in any kind of danger.",s070
0.0,This article matters to people I know because we all fear cancer.,s072
1.0,This is about how nutrients in foods change when they are cooked.,s073
1.0,What avoiding colds consists of,s074
0.0,hearing loss is a major problem. i feel sad about this,s075
1.0,"how exercise keeps older people ""young and healthy""",s076
0.0,"It talks about how even though we work out to lose weight, sometimes that excess working out makes us hungrier and we end up overeating.",s078
1.0,good for staying healthy,s079
0.0,Climate change is going to start being irreversible if we don't do something soon.,s080
1.0,It is about making your money last longer,s081
1.0,This article is about how babies who start eating solid food earlier in life tend to sleep longer per night than those that are breastfed.,s082
1.0,Switching to a green energy provider would help the climate.,s083
1.0,learning about fire can be important.,s084
1.0,This article would be helpful to people I know because it would help them make choices so they can avoid getting cancer.,s085
1.0,I have a child and having him exercise and be healthy is important to me.,s086
1.0,Exercising and maintaining a healthy lifestyle is great for your health.,s089
1.0,This chef only recommends buying the produce you need for that day to avoid waste.,s090
1.0,Switch to Green Energy Provider helps.,s092
0.0,This is bullshit I am gonna smell good fuck clean air.,s093
1.0,the effect of eating solid foods (vs drinking breast milk) on babies under 6 months in age.  seems like babies who eat solid foods get a bit more sleep,s095
1.0,I am suspicious about supplements but I am willing to investigate this and maybe you should too,s097
1.0,Nuclear energy could be a great way to get cheap and clean energy to all of us,s099
1.0,"This article matters to people I know because it has information on how to lower the risk for cancer and cardiovascular death, which I think is something we all can benefit from.",s100
0.0,Toxic algae blooms harm aquatic life.,s101
1.0,Because people like to know what antioxidants work for muscle soreness and which do not.,s103
1.0,This article matters to me because I am concerned about climate change and the damage it is causing to our planet.,s104
1.0,"This article matters to me, because I tend to order food and have disposable trash.",s106
1.0,This is pertinent information for thoughtful people during the holidays.,s108
1.0,Australia is largest importer of coal...,s110
0.0,How nuclear power effects the environment,s111
1.0,I want our planet to be a safe place for people and wildlife. Climate change threatens our safety.,s112
1.0,Its about encouraging people to switch to an environment friendly energy provider.,s113
1.0,This might be important for those of us who are worried about high impact sports effects on our knees!,s114
1.0,The danger of Nuclear radiation poisoning affects us all. Environmentalists team up with Nuclear people to help you lower your carbon footprint.,s115
0.0,Stop eatting so much. Be a good human. It will save the planet. People should care to sve eachother in the long run.,s116
1.0,running routine is helpful to health,s117
0.0,Recovery funds are too slow to reach Americans as more disasters strike.,s118
1.0,A study apparently shows breakfast is not the most important meal of the day.,s119
1.0,Maybe eating meat isn't necessary for health,s120
1.0,I care for the Earth and Climate change is important to me.,s121
0.0,because politicians are the ones that need to act on climate change,s122
1.0,This article matters to people I know because it could affect approaches of people who are overweight or have eating disorders towards adjusting their diet.,s123
1.0,This article is about the benefits on vitamin D on children in the womb.,s124
1.0,Some people I know do exercise regularly and have some pains after.,s125
0.0,there is a conservation of champion to win in national election from dispute the mine,s126
0.0,environment is to bad,s127
1.0,"This matters to me personally because I have small children, and I plan to have at least 1 or 2 more babies. I need information like this so I can sleep longer at night too.",s130
1.0,I like to drink soda sometimes,s132
1.0,It's gotta start somewhere.,s133
1.0,"Although most of the people close to me seem to use reusable shopping bags, its good to know definitively when you go into the store which to choose if you forgot your reusable.",s134
1.0,This article matters to people I know because healthy children and the resulting billions of dollars saved are important to them and to the worldwide community.,s136
0.0,It has been found there is a direct connection between Abdominal obesity and Parkinson's Disease. Such link increases the development of Parkinson's.,s137
0.0,Low impact sports may be putting too little pressure on bones.,s139
1.0,Because they care about climate change and this would interest them.,s140
1.0,Because i want to stay healthy as possible.,s141
0.0,cleaning products are so expensive and less effective.,s143
1.0,The relationship between obesity in children and their parents.,s145
0.0,S.U.V.s are gaining popularity around the world. This article claims that this is not good for the climate.,s146
1.0,It matters to me because this is happening in the world that we are living in and will affect my life and other people's lives.,s147
1.0,If I wanna to lose my weight means I should do exercise regularly.,s149
1.0,It's about a legal movement to change the endangered species act and the responses from critics.,s150
1.0,"Natural disasters are horrible and so sad to experience. If there is a way to help the citizens and the cities that were affected, it should be spent. Efforts to aid is the greatest of relief. There should be no lingering pain after enduring a natural disaster.",s151
1.0,This article speaks to people I know that are going gluten free.,s153
0.0,The Senate has approved to drill in Arctic Wildlife.,s155
1.0,This article is about what can be recycled and what shouldn't. It informs us about what we can throw in the  recycling bin and what is doing more harm than good when we are putting it in there with the recyclables.,s156
0.0,I have no any idea this time.,s157
0.0,WASTING FOOD PROVIDE HELPLESS PEOPLE'S,s159
0.0,this article is about how some countries are still continuing mining for coals even though there are risks,s160
0.0,ARTICLE IS ABOUT THE COURT DISMISSES THE EXXON'S EFFORT TO BLOCK CLIMATE IVESTIGATION,s161
0.0,"On the one hand, it certainly will help lower the price of automobiles but on the other it could actually cause higher bills for the consumer/end-user as we'll all be filling up more frequently.",s163
0.0,The article is about garbage and how it is piling up in the Pacific Ocean between California and Hawaii.,s166
0.0,Global warming may destroy important ancient places in the Mediterranean.,s167
1.0,This is an article about cutting polution.,s168
1.0,this article may help them in their daily diet routine,s170
0.0,Algae blooms are suffocating wildlife in the ocean.,s172
1.0,People I know care about food waste and sustainability.,s177
1.0,Too many of the children in my life complain about feeling sluggish in the morning.  A program like this would definitely help them break through that.,s178
0.0,Hearing loss can lead to accidents because of not properly hearing warnings.,s184
1.0,This article matters to people I know because recycling and consequently garbage disposal is a very important issue for our entire planet.,s185
1.0,"It may be more effective for weight loss than longer less intense workouts, a study suggests.I willing to read the article.",s186
0.0,"The garbage patch floating between California and Hawaii is growing rapidly and is currently at about 87,000 tons of plastic.",s187
0.0,"An important reminder than although fossil fuels might be on their way out in some places, they are still relied upon heavily in many parts of the world.",s189
0.0,Reason for over weight gaining,s191
1.0,This is about the pros and cons of plastic or paper bags.,s192
1.0,Having a good immunity power can control from colds and other flu and have a good healthy habits too.,s193
1.0,Early ways to combat climate change are interesting because they teach us about today,s194
0.0,It helps me realize the government is a scam.,s195
1.0,It is about how the Ancient Egyptian leaders successfully warded off the climate disaster.,s196
1.0,"It's good hear , i take this as a message and will pass it other people i know",s197
1.0,"This is about the motivate the energy provider, reporter, activists and world leaders.",s198
1.0,Article is about the coal mine,s200
1.0,Many of us have parents that are just starting to suffer the effects of that arterial plaque. We need to encourage them to make healthy choices and be good examples ourselves.,s201
0.0,Breast cancer is a very dangerous disease,s202
1.0,I know some people in California who need more reasons to get out of California.,s204
1.0,This is interesting and hopeful for people who may benefit from it.,s205
0.0,Climate only change the every situation for survival for humans,s206
1.0,Here's why we should be making our own renewable energy!,s207
0.0,red meat and white meat had the same effect of bad cholestrol,s208
1.0,Understanding what gut bacteria could possibly make you run faster and the science behind it.,s210
1.0,The article has 6 reasons why people might be approaching recycling wrong and details how common misconceptions about recycling might cause people to be more optimistic about recycling than reality warrants,s211
0.0,Climate lawsuits limited,s212
1.0,we need to work together to get climate under control,s214
1.0,This makes a lot of sense - sharing meals is a big part of a relationship!,s215
0.0,It is about forest and wild fires because of global warming.,s216
1.0,I had been wondering how I could help my immune system in this 2020 climate.,s217
1.0,It should increase the oxygen level and helps human life,s218
1.0,Exxon's effort to block climate investigation was dismissed by a federal judge.,s219
0.0,"Sweet dreams, sweet spot(spät), sweet as pie(pī), sweet young thing: All have a positive connotation(ˌkänəˈtāSHən). But what about sweet tooth, which Americans seem to have cultivated(ˈkəltəˌvādəd) to great excess(ikˈses,ˈekses)? The health effects(əˈfekt) of this obsession(əbˈseSHən) with everything sweet are anything but positive.",s222
1.0,This article matters to me personally because I want to do what I can now to ensure that the planet is inhabitable for future generations.,s223
0.0,Certain heart risks symptoms are shown to increase risk of Parkinson's.,s224
0.0,this article is about Deli Meats which is a processed meat,s227
0.0,"Americans are saving energy by staying home, but with a tech-fueled lifestyle I would be watching more TV, using the internet more and a greater us of heating. So energy savings may not occur.",s230
1.0,I remember what it was like to feel sleepy and droopy in the morning.,s234
1.0,Calling action skills and drawing the necessary weapons  It shows very clearly all the actions including the advice of the doctors,s235
1.0,This article is about highlights from a meeting concerning climate and tips on how to reduce wasting food over the holiday,s236
0.0,WILD LIFE OIL GAS AND OIL EXPLORATION,s237
1.0,It helps keep me aware of the current state of the weather.,s242
1.0,Are you an aspirational recycler? See below the common mistakes of hope people make,s243
0.0,"This article is about how certain products, like deodorant and perfume, contribute to pollution.",s246
1.0,This action will create some kind of motivation to protect our environment. Now a days Land conservation became sensational topic due to its importance in environment protection,s248
1.0,people I know love nature and care about our environment,s249
1.0,This article is about a girl who is popularly known as 'Invisible Girl'.,s250
1.0,This article is about skipping breakfast before excercising to lose weight.,s251
1.0,How different types of meats may affect your bad cholesterol levels.,s255
1.0,cooking  and eating vegetables are good for health,s257
0.0,Side effects of supplements for various purpose.,s258
0.0,This article is about to ban the drink to save the peoples health,s259
0.0,This article is about climate change and the fact people are not buying insurance.,s260
0.0,"China not recycling foreign garbage anymore, and thus, Americans recycling is just being dumped",s261
0.0,People should always carry flood insurance no matter the cost.,s262
0.0,Wildfires aren't happening in the usual places due to climate change. Daunting new evidence that climate change is here and makes us ask what we can do right now.,s265
0.0,Because it is about a company that really wants more for it self and does not care for people like me and my health.,s268
1.0,This is about to create aware among people to reduce the usage of plastics,s270
1.0,i want my child to eat healthy and care about their growing and health,s273
1.0,It is very important one and useful for people,s274
1.0,My friends that are afraid to exercise might like this :),s275
0.0,It was about the wild fire was affecting the more acres in california and it was a huge loss of the lands.,s276
1.0,they are making ads about global warming,s277
1.0,This is a good article discussing what our landscape may look like in the future due to rising sea levels. Imagining land that is currently above water being underwater in the future is frightening! I am curious what the start-up company is that is trying to identify the risks.,s278
1.0,This article is about eating fish is healthy for children,s279
1.0,It matters to me because I'd like to know if my descendants will be affected.,s280
1.0,I’ve been having trouble losing weight. Maybe my breakfast is part of the problem!  I think I will try this strategy next week.,s281
1.0,its about how to avoid wastage,s283
1.0,It matters to me because it shows how if you prepare early you can ward off disasters.,s287
1.0,A cancer doctor who has cancer becomes an entrepreneur selling his solution for beating his cancer.,s288
0.0,There's way more plastic in the Pacific Ocean than previously thought.,s292
0.0,because when we are ageing our body part become weak.,s294
1.0,Because air pollution affects everyone.,s295
1.0,"My mom has had cancer twice in her life, I’m glad there are so many intelligent people who devote their lives to finding cures.",s297
1.0,Because people I know care about well-being of people around the world as well as fairness and justice in society.,s299
1.0,using the opportunity to look for solutions for people with climate problems.,s300
1.0,It isn't necessary to always compete with one another.,s301
1.0,Belly fat lost is very important. It's very important health improvement,s303
1.0,I try to avoid sugar so seeing how it is beneficial is nice.,s305
1.0,we all need to protect the environment,s307
0.0,I am not a fan of processed meats!!,s308
0.0,"This article matters to me because maybe antioxidants and other supplements don't actually help the way we think they do, and they might be a waste of money.",s311
0.0,I have abdominal obesity.,s313
1.0,I believe it is important to take care of one's health and keeping up with new medical developments and findings is one part of doing just that.,s314
0.0,The article focuses on misinformation related to the climate change debate.,s316
1.0,"Lawsuits have been filed in Colorado against oil and gas giants, something that used to only be done on the coast.",s318
1.0,This news was very helpful,s319
1.0,It is very useful to peoples,s320
1.0,This article is about lifestyle,s321
1.0,"This is relevant to people I know who live near the ocean on the coast, as well as people I know who are looking for worthwhile investments that could have large returns.",s322
0.0,Because I an 56 and am slowly slowing down.,s324
1.0,Health conscious is needed one for every human. This article is about being fit by following good habits avoid smoking will ensure our long life it sense in a moral,s326
1.0,relate to cooking as every day essential work revolved,s327
1.0,I think that a lot of people feel they can eat a lot more white meat and think that it's healthy.,s328
0.0,Sugar is extremely BAD for you in multiple ways.,s329
0.0,I worry about my health and keeping my body safe from cancer and other diseases.,s330
1.0,Workout is make us fit and healthy.,s331
1.0,so people get educated on controling their diet when they eat,s335
0.0,"This is primarily an attack on my home state, California, which was granted a waiver for decades to control pollution. Pollution is linked to health problems and increased risk of death, and rolling back emissions standards would affect me personally.",s337
1.0,My dad owns an S.U.V. so he may be a bit environmentally conscious to this fact.,s338
1.0,"This is very inspiring. I admire her courage, she is an advocate of Global climate change and she is bent on achieving her cause.",s344
1.0,"I really want to know what benefits could possibly come from ""lab-grown meat"".",s345
0.0,Climate change will bring doom on earth,s348
1.0,studying rising ocean levels and affects on land,s349
1.0,Minimising the impact of climate change which will reduce land been underwater.,s352
1.0,This article is about Plastic wastages.,s353
1.0,It was very useful health tip,s358
1.0,Eating fish makes children and pregnant women to got healthy. Fish contains some great protein contents. It makes the baby's brain cells to work faster.,s360
1.0,"I have a very dear friend who is vegan, and an article like this might be relevant to his interests.",s361
0.0,"It matters to people watching their weight and health condition that like sweets.
It's about the consequences of eating sweets.",s363
0.0,Being fat and overweight is dangerous and can lead to a shorter life.,s364
1.0,The article is about climate change such as global warming.,s368
0.0,"My sexual function may be getting worse, but not bad enough to take these dangerous supplements.",s371
0.0,Seems that members of the E.U. have failed to justify why a proposal to reduce carbon emissions from coal in the next 30 years as eastern countries are not for it.,s372
1.0,Staying safe and having a good economy is the key to future success.,s373
1.0,"First and foremost, the air pollution in my large city is obvious both by sight, smell and effects on the eyes and the upper and lower respiratory systems. A lot of it is caused by cars and when you are behind cars in rush hour or behind diesel trucks, you can really smell and see the impacts. Second, it would help clean the Air for all Living Things.",s375
1.0,Only buy food you plan on preparing on the same day.,s380
1.0,it matters because it can inform people about the immune system,s386
0.0,"record breaking heat in June
",s387
1.0,physical activities very good for brain,s390
1.0,exercise is good for me and every human health,s394
1.0,this article is about the livelihoods and Endangered species act.,s395
1.0,Lost belly fat and showed metabolic benefits.,s396
0.0,Exercising can cause people to gain weight because they eat more.,s399
1.0,Effect on Plaques in Arteries due to lifestyle changes.,s400
1.0,Energy saving is a good thing but the headline of the article is very straight to say,s401
1.0,"Dogs always stress busters, it may be with us in every situations like a friend",s402
1.0,children and adults protest for climate change,s403
1.0,People I know care about their future and want to be prepared for issues that will effect them now and later.,s406
0.0,environment is very important one  for us  and it represent only one many significant area wildfires are currently burning the world so i has a lot of fears and climate changes is exacerbating danger,s411
0.0,obesity was high risk of  heart disease  .so daily excesise and diet control most important,s412
1.0,There was a big disagreement on how to handle the Arctic at a climate change talk with the council. They are trying to protect the environment from damage.,s414
0.0,This should not be encouraged. save some areas without industrialization,s415
1.0,It matters to me personally because I need to keep healthy to avoid sleep apnea.,s418
0.0,parents making their kids fat,s419
1.0,Yes tomatoes and spinach will improve the nutrient level while cooking,s420
1.0,I am glad that the natural beauty and habitat for wildlife is being preserved for generations to come.,s421
0.0,Why the world keeps burning coal despite the risk the practice poses for the future could be explained by the story of a mining project in Australia.,s422
1.0,Climate change will impact everyone's life in the future.,s423
1.0,I need to keep myself informed on the science related to our changing climate.,s425
1.0,This article is about what car manufacturers think about climate change.,s432
1.0,this article is chef tom colicchio cook for tonight .,s434
1.0,This sounds a like a life changing proposal and it is important to spread it so people can learn about a better future is being planned and how to act in order to achieve it.,s435
0.0,Old competitive racers unable to run like his teen age.,s436
1.0,scientist is the most believable persons this is reading very feel,s437
0.0,The article is about genetically modified organisms which far too many people have not been sufficiently educated to make an opinion one way or another.,s439
0.0,Disposable cleaning products like wipes and toilet wands are popular. no bargaining in this product. there is no convenience.,s442
0.0,This article is about cancer,s444
0.0,smoking causes danger,s445
1.0,I enjoy both meats. I am not worried about my cholesterol but it might interesting to read about the same levels in the two.,s446
1.0,"It matters because, as a resident of the planet, I need to know that everything that can be done is being done to protect the natural environment. I need to know if my government is acting in accordance with the needs of the planet, so that I can vote accordingly.",s448
0.0,This article is about the causes of Parkinson's Disease.,s449
1.0,Young people are protesting to raise action about climate change.,s450
0.0,this article is about weight associated cancer rating,s453
1.0,New children's new book on healthy eating.,s454
1.0,climate change is important in this election,s456
1.0,This article is about a study that was done that showed that cardio workouts can decrease the chances of developing dementia.,s457
1.0,People I know are very interested in the best ways to lose weight safely and effectively.,s460
1.0,Climate lawsuits are moving inland in the US.,s462
1.0,this would encourage to people to exercise enough,s463
0.0,Climate change is making storms worse and the government is not helping.,s466
1.0,Age is not the factor its just a number. We live for long days we must fit.,s467
1.0,about a quick 13 minute way to do strength training.,s470
1.0,This article is about kidney stones and what foods one should not eat if they want to avoid getting stones.,s471
0.0,wildfire causes by invasive grasses,s473
1.0,I have a lot of compassion for animals.,s475
1.0,I feel that this is kind of weather information which gives some positive news about the climate. So it matters to me personally.,s478
1.0,Bananas actually contain more carbs than sports drinks which help fuel exercise,s479
1.0,It's about how exercise can keep you young.,s481
1.0,"This matters to me because if the European Union does not curb and eventually halt the use of fossil fuels, this will contribute greatly to global warming.  Twenty-eight countries take up a huge area of land and population, so it's important that this Union (and everyone else on the planet) does everything it can to halt the use of fossil fuels, especially coal.  A plan should be put into action that would replace the use of coal in eastern European countries with clean energy.  The survival of the planet matters to me personally.",s482
1.0,Looks like banning sugary drinks is having the desired effect.,s483
0.0,Antioxidants don't help muscle soreness after exercise,s485
1.0,Article is about cholesterol levels,s487
0.0,construction in flood zones,s488
1.0,This article is about kidney stone prevention.,s490
0.0,There is a lot of money available that isn't being spent quickly enough to aid with disasters and the problem is just going to get worse because of climate change.,s492
1.0,"Global warming is happening, but the good news is that they are getting better at evacuating",s493
1.0,Eating method for life time,s494
1.0,Honestly i dont know how the contents of this specific article would matter or be relevant to anyone in my social circle. Perhaps if I knew they were a fan of the skier that is mentioned i would relay the article to them,s495
1.0,good for coal researchers. good one to be known,s496
1.0,"I think this article matters to many people, including those I know because it highlights the impact of two things: misinformation and climate change.",s497
0.0,"The Trump administration, Senate Republicans and Lobbyists are trying to weaken the endangered species act in hopes of some economic gain.",s498
1.0,create awareness to the people not to build in flood area zones,s499
1.0,"Its a victory for climate protection, for the environment. I think this particle matters because we must all try to protect the environment.",s502
0.0,"This article is about how carrying excess weight around on your body contributes to an increase in cancers. The largest increase was seen in the South, Midwest, Alaska and Washington D.C.",s504
1.0,"This article lets the readers explore a quick yet effective exercise to build strength, based on a recent study.",s505
0.0,"SUVs are selling at increasing rates in China, Australia, and Europe which could be bad for the climate.",s506
1.0,"I want my children to be able to see as many types of animals as possible and if we can preserve some species, we should.",s507
1.0,I eat meat and it's important to know the effects,s512
1.0,This article appears to include information on automaker's perspective on climate change and possibly indicates they are changing their stance,s513
1.0,I am always trying to get the most nutrients out of my veggies!,s514
1.0,Recycling a coffee cups or greasy pizza boxes would be very creative and innovation.,s515
1.0,everybody need to know about climate change,s516
1.0,The Article is about climate change,s517
1.0,"This article is about a climate based Tech conference for technology and business leaders discussing about various topics, from big data to lab-grown meat to governor positions.",s520
1.0,It should probably matter to everyone. Who doesn't want to gain strength in just a few minutes per day?,s522
1.0,It matters because it seems very relatable to today.,s526
1.0,How we walk depends on who we are with,s527
1.0,We really don't have to slow down too much as we get older.,s529
0.0,plastic bags are not safe to the earth,s530
1.0,We can hope for certain area harder than others!,s531
1.0,It says dogs are our best friend and they relieve stress. so we probably could sleep better.,s532
1.0,everyone uses plastics and need to be careful on how to dispose of it to make sure to lessen the effect to the environment.,s533
0.0,This article is about the resurgence in popularity of S.U.V.'s and the effects of their usage on the environment.,s535
1.0,It means to me that technology helps us in many ways today.  It may not be picture perfect though.,s537
1.0,"The article cites several lifestyle changes that can decrease the risk of heart attack including diet, exercise, managing stress and quitting smoking.",s538
1.0,Exercising gives you as much benefit health wise as not smoking cigarettes.,s540
1.0,This matters to people i know because many people i know are athletes.,s541
1.0,Research data about walking,s543
0.0,My Society have an deadly disease called cancer. So this article matters me personally,s544
1.0,Climate Change is getting the political attention that it deserves.,s545
0.0,Climate change is happening but people aren't buying floor insurance.,s546
1.0,"This would matter because a lot of people I know have dogs, and they might be interested in it.",s547
0.0,People must knows the world leaders.,s548
1.0,we need to take care of our environment,s551
1.0,This is important to everyone because car emissions is affecting climate change. Everyone should pay attention to this.,s552
1.0,"With the oil majors unable to block the investigation, we may finally get answers!",s553
1.0,Because we can protect the environment by knowing this alternatives,s554
0.0,it is about killing florida wildlife,s555
0.0,Climate change will impact the US economy.,s558
0.0,ii is about that climates,s559
1.0,Plants imply vegetarianism which is good. What are flavinoids?,s561
1.0,Somebody has created a tool to make high intensity workouts less stressful to the body.,s563
0.0,I worry about the females in my life that eat too much processed meat.,s567
0.0,"Climate changes affects each and every aspects of people , also to companies which were engaged in production and manufacturing and relevant to environment. It affects the economic situation of companies which in turn affects their employees also.",s568
0.0,This article matters to people like me because I do not want to be fat.,s570
0.0,I've got a few family members that work in the oil industry and they've told me that these emission rules are fairly overbearing and that they'd love to see the government ease up on them.,s571
0.0,"The trash zone between California and Hawaii is much bigger than we thought. A study suggests it's up to sixteen times bigger and growing exponentially. About 87,000 tons of plastic exists in this area.",s572
1.0,It appears we're learning to deal with the warming crisis through different types of interventions.,s574
1.0,I have friends who live near wildfires.,s575
1.0,Some people in my life could be considered obese. I want them around for as long as they can be.,s576
0.0,Young people are having to demand adults stop destroying the world and their future.,s577
1.0,This article matters to people I know because climate change is a topic that we are all affected by and dealing with. Eliminating food waste is also something my family will want to do during the holidays.,s578
0.0,Meat can increase the risk of colorectal cancer.,s581
0.0,This is so sad because climate change effects everyone we love in the future,s582
1.0,"surgery drink may good and help to save people, would need to enhance the performance..",s583
0.0,Climate change really needs to be taken more seriously.,s584
1.0,The environment is money in the bank.,s587
1.0,Climate change is relevant to me because it effects us all.,s588
1.0,scientists are trying to help an endangered species of marine mammals.,s589
0.0,Did this never occur to any of you before?,s592
1.0,"The people should know about the matter, if they go outside from their own country.",s593
1.0,Its about how meats affect our health.,s594
1.0,It is all about recycling plastics and papers in America.,s595
1.0,This article matters to people I know because switching to a green energy provider is helpful in lowering their bills and helping the environment.,s598
0.0,climate change is happened in some changes,s599
0.0,There is still not enough Solar power energy,s600
1.0,"we all want to live longer, and taking tips from people who have proven longevity is a good idea",s602
1.0,fitness is most important to people.,s606
1.0,pertains to overall strategies for optimal health,s608
0.0,Permit from regulators in Queensland to get coal.,s610
1.0,People are always looking for hope and info about cancer.,s613
1.0,about saving energy and travel less,s615
1.0,There is no side effects and is is found in 25,s616
0.0,Living in poverty has affected me and my family in the past.,s618
0.0,Climate change strikes,s619
1.0,A summary of things that happened at the ClimateTech Conference in San Francisco.,s620
0.0,Being overweight has many consequences including the risk of cancer.,s621
0.0,the story is basically  how a wealthy person could keep three countries for a decade,s622
1.0,"Since the Fetus health is so important, the pregnancy woman have to take vitamin D foods.",s623
1.0,"The Senate passed a bill that would protect more than 1,000,000 acres of wilderness for conservation.",s624
1.0,The article matters to people because they have to be aware of natural causes and the ways it has to be prevented.,s626
0.0,It's about the side effects of a dietary supplement,s627
1.0,This article is about benefits of solid food.,s628
1.0,I am more involved in environmental issues.,s629
0.0,It matters a lot because it is about climatic change effects global warming,s630
1.0,"The climate change conditioning continues, this time with more campaign ads.",s631
1.0,How the pharaohs dealt with drought problems.,s634
1.0,I have children and I want them to have a happy and healthy future with their environment.,s635
0.0,I live in an arid region where wildfires happen every summer.,s636
1.0,Recycling is good thing for entire world right now.,s638
1.0,"Changing the way you live your life through improving exercise and reducing stress, not to mention ones diet and stopping smoking can help you avoid a heart attack.",s639
0.0,This article about the disease of eating disorder...,s640
